pmProductID,optionData.dataOptionProvidingMethod,optionData.optionDataName.value,optionData.selectionMethod.value,optionData.totalNumOfOptions.value,optionData.minNumOfOptionSelectable.value,optionData.maxNumOfOptionSelectable.value
PA00000084,"[{'productId': 'NA00008707', 'productName': '슬림 데이터 충전 4GB', 'extradataAmount': '4GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",슬림 데이터 옵션,포함 옵션,1,0,1
PA00000085,"[{'productId': 'NA00008708', 'productName': '베이직 데이터 충전 3GB', 'extradataAmount': '3GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",베이직 데이터 옵션,포함 옵션,1,0,1
PA00000086,"[{'productId': 'NA00008703', 'productName': '0 청년 49 데이터 충전 4GB', 'extradataAmount': '4GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",0청년 49 데이터 옵션,포함 옵션,1,0,1
PA00000087,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000088,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000089,"[{'productId': 'NA00008704', 'productName': '0 청년 43 데이터 충전 2GB', 'extradataAmount': '2GB', 'monthlyPrice': '3000원', 'DiscountRate': None}]",0청년 43 데이터 옵션,포함 옵션,1,0,1
PA00000090,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000091,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000092,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000093,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000094,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
PA00000095,"[{'productId': None, 'productName': None, 'extradataAmount': None, 'monthlyPrice': None, 'DiscountRate': None}]",,,,,
